id_batiment,annee,mois,consommation_elec_kwh,consommation_gaz_kwh,consommation_totale_kwh,temperature_moy_c,dju_chauffage
B018,2021,7,23500,0,23500,29.0,0
B018,2021,8,23800,0,23800,28.5,0
B018,2021,9,22500,0,22500,24.0,0
B018,2021,10,21000,0,21000,18.5,38
B018,2021,11,24000,0,24000,13.0,152
B018,2021,12,27000,0,27000,9.5,245
B018,2022,1,28500,0,28500,8.5,272
B018,2022,2,27000,0,27000,9.5,232
B018,2022,3,24500,0,24500,13.0,152
B018,2022,4,22500,0,22500,17.5,48
B018,2022,5,22000,0,22000,22.0,3
B018,2022,6,22500,0,22500,26.5,0
B018,2022,7,24000,0,24000,29.5,0
B018,2022,8,24300,0,24300,29.0,0
B018,2022,9,23000,0,23000,24.5,0
B018,2022,10,21500,0,21500,18.0,42
B018,2022,11,24500,0,24500,12.5,162
B018,2022,12,27500,0,27500,9.0,258
B018,2023,1,27800,0,27800,9.2,252
B018,2023,2,26300,0,26300,10.2,212
B018,2023,3,23800,0,23800,13.8,132
B018,2023,4,21800,0,21800,18.5,35
B018,2023,5,21300,0,21300,23.0,0
B018,2023,6,21800,0,21800,26.8,0
B018,2023,7,23300,0,23300,29.8,0
B018,2023,8,23600,0,23600,29.2,0
B018,2023,9,22300,0,22300,24.8,0
B018,2023,10,20800,0,20800,18.8,32
B018,2023,11,23800,0,23800,13.2,145
B018,2023,12,26800,0,26800,9.8,235
B019,2021,1,1100,0,1100,10.2,198
B019,2021,2,1000,0,1000,11.0,162
B019,2021,3,900,0,900,14.5,112
B019,2021,4,800,0,800,18.8,28
B019,2021,5,750,0,750,23.0,0
B019,2021,6,700,0,700,26.5,0
B019,2021,7,700,0,700,29.5,0
B019,2021,8,700,0,700,29.0,0
B019,2021,9,750,0,750,25.0,0
B019,2021,10,800,0,800,19.5,22
B019,2021,11,950,0,950,14.0,122
B019,2021,12,1050,0,1050,10.8,182
B019,2022,1,1120,0,1120,9.8,212
B019,2022,2,1020,0,1020,10.5,175
B019,2022,3,920,0,920,14.0,122
B019,2022,4,820,0,820,18.2,35
B019,2022,5,770,0,770,22.5,3
B019,2022,6,720,0,720,27.0,0
B019,2022,7,720,0,720,30.0,0
B019,2022,8,720,0,720,29.5,0
B019,2022,9,770,0,770,25.5,0
B019,2022,10,820,0,820,19.0,28
B019,2022,11,970,0,970,13.5,132
B019,2022,12,1070,0,1070,10.2,192
B019,2023,1,1080,0,1080,10.0,202
B019,2023,2,980,0,980,11.2,158
B019,2023,3,880,0,880,14.8,105
B019,2023,4,780,0,780,19.2,22
B019,2023,5,730,0,730,23.5,0
B019,2023,6,680,0,680,27.2,0
B019,2023,7,680,0,680,30.2,0
B019,2023,8,680,0,680,29.8,0
B019,2023,9,730,0,730,25.8,0
B019,2023,10,780,0,780,19.8,18
B019,2023,11,930,0,930,14.2,115
B019,2023,12,1030,0,1030,10.8,178
B020,2021,1,82000,195000,277000,3.2,412
B020,2021,2,76000,172000,248000,4.1,368
B020,2021,3,68000,120000,188000,8.5,248
B020,2021,4,60000,45000,105000,13.2,105
B020,2021,5,56000,10000,66000,17.8,32
B020,2021,6,62000,0,62000,21.5,0
B020,2021,7,72000,0,72000,24.2,0
B020,2021,8,70000,0,70000,23.8,0
B020,2021,9,62000,12000,74000,19.1,18
B020,2021,10,65000,85000,150000,13.5,98
B020,2021,11,75000,165000,240000,7.2,310
B020,2021,12,80000,188000,268000,3.8,395
B020,2022,1,84000,200000,284000,2.8,428
B020,2022,2,78000,178000,256000,3.9,382
B020,2022,3,70000,125000,195000,7.8,268
B020,2022,4,62000,48000,110000,12.5,118
B020,2022,5,58000,11000,69000,17.1,38
B020,2022,6,64000,0,64000,22.0,0
B020,2022,7,74000,0,74000,25.1,0
B020,2022,8,72000,0,72000,24.5,0
B020,2022,9,64000,13000,77000,18.8,22
B020,2022,10,67000,88000,155000,12.9,112
B020,2022,11,77000,170000,247000,6.5,328
B020,2022,12,82000,193000,275000,3.2,412
B020,2023,1,80000,185000,265000,3.5,398
B020,2023,2,74000,162000,236000,4.5,352
B020,2023,3,66000,112000,178000,9.2,228
B020,2023,4,58000,42000,100000,14.0,88
B020,2023,5,54000,8000,62000,18.5,18
B020,2023,6,60000,0,60000,22.2,0
B020,2023,7,70000,0,70000,24.8,0
B020,2023,8,68000,0,68000,24.0,0
B020,2023,9,60000,10000,70000,19.5,12
B020,2023,10,63000,80000,143000,14.2,88
B020,2023,11,73000,158000,231000,7.8,288
B020,2023,12,78000,180000,258000,4.2,372
